,Km,kcat,0.1147903994929156,0.115,0.2,0.2,0.5,0.5,0.8,0.8
Hsa,0.0075813985183329,7.385483696200568,12.93490864070427,12.9,19.60780948524249,19.6,84.82117430127282,84.8,366.92684184135055,367.0
Tel,0.0990971545632316,2.928699553758633,3.818715981347458,3.82,4.650103123100389,4.65,9.30345430291093,9.3,18.61340698798161,18.6
Cau,0.1751468439774359,2.3677866027427337,2.891962847313968,2.89,3.3547649406512776,3.35,5.657719354499131,5.66,9.541589011616368,9.54
Mja,0.3560350066250034,5.291797024481296,5.957821807199034,5.96,6.5058588620151845,6.51,8.86863593355606,8.87,12.08951884603276,12.1
Tth,0.468303881589738,11.51378061769446,12.56140448935217,12.6,13.40023450764816,13.4,16.824961203062276,16.8,21.124952650864717,21.1
Eco,0.4663088039781885,66.83547590414794,72.95249221038141,73.0,77.85245672549115,77.9,97.87465343422356,97.9,123.04618489621502,123.0
Mru,0.5481512108132979,66.71503227421627,71.48179182924696,71.5,75.23910571132893,75.2,90.11010828412633,90.1,107.92036319690524,108.0
Bsu,1.1360681753971862,71.0699417617422,70.03676326168738,70.0,69.27955361132031,69.3,66.6781838936181,66.7,64.1744926980112,64.2
Pma,1.9813408352644557,7.525854670282906,6.957733072987436,6.96,6.563930733066136,6.56,5.346582004683851,5.35,4.355003167356118,4.36
Hth,9.639987816006451,3.944427818297452,3.041035431405155,3.04,2.507083023026763,2.51,1.2704154610971807,1.27,0.6437582756418886,0.644
