,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,,,0.8,0.0,1.0867172810304946,1.0,12.210045463741553
Tel,,,0.8,0.0,1.0867172810304946,1.0,12.210045463741553
Cau,0.39793991119875133,6.970112699208886,0.8,1.1633858012729075,1.0867172810304946,14.56752597936525,12.210045463741553
Mja,0.6441958818739714,53.7533860703173,0.8,1.8831914714704103,1.0867172810304946,76.41726172501849,12.210045463741553
Tth,0.47247686282711304,122.29174128350087,0.8,2.3478926920725534,1.0867172810304946,222.78846029772393,12.210045463741553
Eco,,,0.8,0.0,1.0867172810304946,1.0,12.210045463741553
Mru,0.7887995538842313,655.5712839947874,0.8,2.8990465968532284,1.0867172810304946,792.5863650615108,12.210045463741553
Bsu,,,0.8,0.0,1.0867172810304946,1.0,12.210045463741553
Pma,0.6803788940803256,22.352160716175206,0.8,1.4831188450605859,1.0867172810304946,30.41717280361973,12.210045463741553
Hth,2.158339302855972,22.794663159222512,0.8,1.090537403575259,1.0867172810304946,12.317920691551041,12.210045463741553
