ID,vd,jOER,tau10,tau37,tau50,tau90
210130C,1.2261672846502859e-05,74.10287614637717,20.994444444444444,19.76388888888889,19.469444444444445,18.04722222222222
210715A,6.215869814329055e-06,49.632616047723076,51.04166666666666,39.86666666666667,37.98333333333333,32.31944444444444
210916A,3.3298648843686865e-06,48.32682218343676,77.28333333333333,71.28611111111111,70.45833333333333,64.14166666666667
210916D,9.264684417376717e-06,68.20789974747474,29.241666666666667,28.586111111111112,28.43888888888889,25.83333333333333
210916B,7.1239663991655844e-06,65.70923531729758,43.09444444444444,39.92777777777778,39.41388888888889,32.40833333333333
210715D,1.4337904453795802e-05,85.08929394469169,18.88055555555556,17.541666666666668,17.391666666666666,16.36111111111111
211029A,1.352181674691185e-05,83.31480874132787,19.2,17.580555555555556,17.219444444444445,15.394444444444444
211029C,8.280709796813162e-06,48.705535737455214,29.530555555555555,27.897222222222226,27.622222222222224,23.825
211029D,9.045733476259688e-06,48.973425163272616,31.594444444444445,30.33055555555556,30.022222222222226,25.70555555555556
211118A,6.087284242671257e-06,48.98425393945397,43.98888888888889,42.28333333333333,41.88333333333333,36.90833333333333
211118B,3.4183699392000396e-06,48.290351175517195,42.45,39.53333333333333,39.17777777777778,36.19722222222222
211118C,5.848345573366313e-06,49.75856576634225,44.797222222222224,41.98333333333333,41.61944444444445,37.355555555555554
211118D,6.1663589334392534e-06,48.462154609777016,39.730555555555554,37.36944444444445,37.05277777777778,33.68055555555556
211203A,5.308639749098981e-06,48.14239052210093,41.06111111111111,39.66111111111111,39.44444444444444,34.958333333333336
211203B,4.42367067294001e-06,48.14341480931041,38.94444444444444,37.16944444444445,36.82222222222222,34.019444444444446
211203D,5.800049969108663e-06,48.14424965207018,41.32222222222222,38.00277777777778,37.519444444444446,31.90277777777778
220203A,5.882730289290258e-06,48.387857484570645,51.93611111111111,40.827777777777776,39.83055555555556,34.24722222222222
220203C,5.705618239179078e-06,48.810581352994106,44.827777777777776,42.89722222222223,42.58888888888889,39.39722222222223
220402F,5.9084692596711015e-06,50.19128118981495,43.59444444444444,42.25555555555555,42.05555555555556,38.56388888888889
220423C,4.9012481574590096e-06,48.7221253484691,46.65833333333333,44.64722222222223,44.21666666666667,41.775
220423F,7.872991054540007e-06,52.68293505874276,38.519444444444446,37.21944444444444,37.01111111111111,13.96111111111111
220512C,6.006502989800706e-06,47.81569348211562,47.16388888888889,45.81944444444444,45.63611111111111,42.16111111111111
220512E,6.667226570779999e-06,52.17472650207376,44.16666666666666,42.4,42.144444444444446,37.72222222222222
220512F,5.8403296358899934e-06,49.86775991096532,44.208333333333336,42.86111111111112,42.54166666666666,39.08611111111111
220525D,5.404766054226326e-06,49.217544309372805,47.50555555555555,43.58611111111111,43.06944444444444,38.766666666666666
220620B,6.132225324873638e-06,50.00593564881758,49.41944444444445,41.852777777777774,40.28888888888889,35.361111111111114
220620E,5.9698794248743075e-06,48.718081844348085,48.30555555555556,46.06388888888889,45.77222222222223,42.19166666666667
220829F,6.854396584829505e-06,48.59227644128869,46.16111111111111,44.7,44.45,40.38333333333333
220909B,1.4808732244689194e-05,87.8908632365081,19.141666666666666,18.70833333333333,18.54722222222222,17.29722222222222
220909C,3.9624884936744155e-06,38.09157037538699,68.775,67.08888888888889,66.58888888888889,56.34166666666667
220909D,7.68959013279354e-06,63.3953144963145,31.469444444444445,30.369444444444444,30.10833333333333,27.891666666666666
220909E,5.955291059391091e-06,44.10613887980338,52.33611111111111,50.725,50.394444444444446,46.31944444444444
220909F,6.769186404069049e-06,54.85581595647629,36.71944444444444,35.69722222222222,35.147222222222226,30.788888888888888
221111A,4.5191617012241535e-06,49.04352323355229,61.477777777777774,56.12222222222222,55.50277777777778,48.16111111111111
221111B,6.7965876972778e-06,64.32352189687772,40.66111111111111,37.08055555555556,36.33055555555556,31.016666666666666
230209A,6.055924395900468e-06,49.02983897794914,43.64722222222223,40.54444444444445,40.23333333333333,32.93055555555556
230209B,5.854223246212324e-06,49.75857347837526,44.95555555555556,41.53055555555556,41.14722222222223,36.516666666666666
230209C,4.862587343902514e-06,49.46914786458334,54.53888888888889,52.13611111111111,50.56111111111111,39.394444444444446
230209F,5.556687451456324e-06,47.81217991692184,49.019444444444446,47.21388888888889,46.76111111111111,36.77777777777778
230302A,4.614718658183144e-06,49.37947137024281,103.79166666666669,95.18611111111112,92.50555555555556,74.61111111111111
230302C,5.688721343680928e-06,47.503696237068475,48.91666666666666,46.175,45.827777777777776,40.19444444444444
